ID,WL_HOME,FG_PCT_HOME,FG3_PCT_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,FG_PCT_AWAY,FG3_PCT_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY
21298,L,0.446,0.0,0.5,16,28,44,25,8,5,16,23.0,-9,0.513,0.0,0.769,11,29,40,21,11,7,17,19.0,9
21299,L,0.396,0.0,0.635,18,29,47,17,3,7,28,37.0,-14,0.477,0.333,0.791,13,31,44,26,11,3,22,40.0,14
21300,W,0.443,0.0,0.816,17,40,57,23,11,0,22,32.0,2,0.477,0.4,0.667,13,28,41,27,10,7,20,32.0,-2
21301,L,0.443,0.0,0.634,20,28,48,17,5,2,20,34.0,-4,0.488,,0.75,11,31,42,19,7,7,18,32.0,4
21302,L,0.512,0.0,0.632,10,24,34,30,10,9,16,27.0,-4,0.494,,0.706,17,30,47,23,10,7,19,28.0,4
21303,W,0.453,0.25,0.707,21,32,53,29,8,8,20,33.0,1,0.484,0.667,0.719,16,31,47,24,8,8,20,34.0,-1
21304,W,0.436,0.0,0.806,19,33,52,17,14,3,24,30.0,4,0.476,0.286,0.844,9,34,43,27,14,5,28,27.0,-4
21305,W,0.427,0.0,0.895,23,31,54,28,17,9,21,33.0,5,0.461,0.2,0.643,22,32,54,32,13,7,27,37.0,-5
21306,W,0.46,0.667,0.867,17,29,46,18,6,11,20,33.0,3,0.462,0.0,0.739,23,24,47,21,9,7,20,32.0,-3
21307,W,0.518,0.4,0.9,12,30,42,28,11,3,22,40.0,26,0.386,0.0,0.712,12,24,36,14,9,7,27,34.0,-26
21308,L,0.438,0.429,0.576,13,27,40,20,4,7,11,32.0,-5,0.419,0.0,0.733,21,33,54,22,3,2,14,24.0,5
21309,W,0.595,,0.912,6,42,48,27,8,4,27,27.0,27,0.392,0.0,0.667,9,23,32,19,10,0,19,28.0,-27
21310,W,0.495,0.0,0.677,16,21,37,27,17,8,13,22.0,11,0.542,0.0,0.733,13,37,50,14,9,8,26,26.0,-11
21311,W,0.41,0.0,0.805,11,31,42,18,6,4,15,17.0,6,0.477,0.4,0.818,7,31,38,30,7,5,18,34.0,-6
21312,L,0.463,0.0,0.615,16,35,51,32,18,5,20,33.0,-5,0.495,0.167,0.815,15,38,53,30,8,5,22,28.0,5
21313,W,0.471,0.0,0.723,14,36,50,21,12,4,19,32.0,1,0.459,0.0,0.708,24,34,58,36,7,3,21,34.0,-1
21314,L,0.391,0.333,0.64,10,19,29,19,12,5,13,28.0,-10,0.407,0.0,0.846,22,37,59,20,9,6,23,26.0,10
21315,W,0.528,1.0,0.87,15,26,41,34,14,6,26,29.0,17,0.434,0.333,0.788,18,23,41,24,11,6,29,31.0,-17
21316,W,0.43,0.333,0.711,24,36,60,21,9,7,12,25.0,15,0.369,0.0,0.694,19,25,44,15,8,3,12,26.0,-15
21317,L,0.449,0.667,0.75,13,38,51,23,3,3,21,25.0,-6,0.489,0.0,0.808,13,33,46,24,6,5,14,27.0,6
21318,W,0.483,0.667,0.679,14,36,50,25,7,4,15,34.0,17,0.408,0.2,0.743,18,41,59,22,6,4,20,39.0,-17
21319,W,0.524,,0.833,14,30,44,26,9,6,23,20.0,12,0.448,0.5,0.75,12,20,32,21,16,5,20,24.0,-12
21320,L,0.518,0.0,0.684,14,30,44,30,13,6,39,41.0,-15,0.454,0.25,0.796,24,27,51,26,20,7,30,39.0,15
21321,L,0.379,0.375,0.724,12,26,38,22,10,4,10,27.0,-7,0.494,0.0,0.633,8,34,42,24,3,7,16,21.0,7
21322,W,0.483,0.0,0.776,24,33,57,26,10,6,18,31.0,12,0.478,,0.65,12,25,37,27,7,8,18,33.0,-12
21323,W,0.505,0.0,0.75,15,26,41,35,7,4,14,23.0,6,0.485,0.167,0.667,18,28,46,33,9,4,18,27.0,-6
21324,L,0.434,0.25,0.8,11,20,31,29,8,2,12,20.0,-18,0.574,0.333,0.833,16,44,60,35,6,3,19,32.0,18
21325,W,0.593,0.5,0.7,9,22,31,32,8,5,18,29.0,2,0.495,0.2,0.667,20,29,49,26,10,4,18,20.0,-2
21326,W,0.5,0.0,0.805,15,33,48,27,8,9,22,30.0,11,0.435,0.286,0.727,15,24,39,21,13,3,20,33.0,-11
21327,W,0.432,,0.78,12,28,40,20,16,5,17,23.0,2,0.494,0.0,0.75,10,35,45,28,8,9,26,31.0,-2
21328,W,0.455,0.0,0.804,18,47,65,27,14,6,20,36.0,9,0.44,0.0,0.84,19,39,58,24,9,6,22,35.0,-9
21329,W,0.472,0.0,0.732,18,30,48,33,8,7,12,31.0,7,0.473,0.0,0.75,20,41,61,34,6,4,19,36.0,-7
21330,W,0.532,0.333,0.643,16,30,46,22,8,3,15,21.0,7,0.441,0.5,0.618,26,25,51,22,7,6,15,30.0,-7
21331,L,0.44,0.308,0.719,13,23,36,17,9,9,16,24.0,-7,0.478,,0.897,13,35,48,28,9,4,22,30.0,7
21332,L,0.411,0.0,0.594,17,24,41,24,16,6,27,37.0,-37,0.591,0.0,0.739,14,36,50,42,12,6,25,30.0,37
21333,W,0.505,,0.667,18,40,58,36,6,2,22,25.0,6,0.448,0.0,0.846,17,34,51,23,8,2,17,32.0,-6
21334,W,0.427,0.4,0.857,13,28,41,19,11,4,22,28.0,17,0.397,0.0,0.633,12,30,42,13,5,5,28,27.0,-17
21335,W,0.506,,0.829,17,37,54,26,7,8,20,23.0,8,0.454,0.0,0.857,17,23,40,22,10,9,14,28.0,-8
21336,W,0.474,0.2,0.872,10,31,41,24,5,7,23,23.0,4,0.456,0.167,0.667,14,25,39,22,12,2,14,35.0,-4
21337,W,0.444,0.0,0.818,22,35,57,24,7,5,14,22.0,8,0.449,0.25,0.867,13,29,42,27,9,14,16,38.0,-8
21338,W,0.511,,0.614,14,31,45,30,17,7,22,32.0,11,0.481,0.0,0.727,10,35,45,21,11,5,29,36.0,-11
21339,W,0.515,0.0,0.593,18,31,49,31,12,6,23,34.0,9,0.469,0.0,0.738,15,31,46,20,9,5,22,25.0,-9
21340,W,0.523,,0.64,13,32,45,28,15,6,21,20.0,4,0.484,0.0,0.609,14,27,41,23,13,6,23,20.0,-4
21341,L,0.558,0.667,0.667,9,25,34,25,6,9,15,28.0,-4,0.583,0.333,0.741,9,27,36,25,4,3,15,24.0,4
21342,L,0.341,0.0,0.63,14,30,44,15,6,6,14,16.0,-15,0.494,0.0,0.667,7,42,49,24,8,8,14,21.0,15
21343,W,0.512,0.0,0.833,13,29,42,30,11,6,19,27.0,18,0.417,0.25,0.853,15,25,40,18,4,3,22,30.0,-18
21344,W,0.5,0.6,0.48,21,34,55,29,5,3,16,14.0,13,0.402,0.125,0.786,20,22,42,24,9,4,12,16.0,-13
21345,W,0.531,0.5,0.702,20,39,59,31,8,7,22,28.0,23,0.398,1.0,0.75,17,28,45,27,10,5,18,32.0,-23
21346,W,0.44,0.5,0.797,26,32,58,26,10,3,23,33.0,20,0.488,0.0,0.75,9,32,41,25,7,7,30,41.0,-20
